key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
af1d8d847c7392684a3689f2297a5a1c52d47803ae43568fb078e9e648921df9;2017-11-15;2017;11;15;4
ab481df23dbaca220e294cbd096eb36e31d43c817f521d5df2b0232c56c20c4f;2017-05-18;2017;5;18;2
1d96767689980f9be00421189ac104d9db0d702c9dd5b87263e478bc0ebebeea;2018-05-20;2018;5;20;2
272b0a31a575e730366455d5612e7d5bd7cf49936b639c998eba6fb851409f0f;2018-10-07;2018;10;7;4
9885b50a9c653332d79a6c8acc8d34b213563cd2ac69139f9923e4a4dd4ae9d4;2017-03-26;2017;3;26;1
5b91624741fa462cbf1b1609df183f57a6c80ceecc82579d9f5cae4b48531349;2017-08-03;2017;8;3;3
073cfdabd303c64041da6a2f59df172f4b75d11b9324583554d0d01110f5ad8d;2017-09-01;2017;9;1;3
4dbb2767bc9fd7194a05e2e7a4d178bd84fddce8c9baf25f88fd0633d4aab721;2018-04-02;2018;4;2;2
d232970174946dbcb88905cb9db894fc1cb195e444f01d99a58d4f0e75c69d7b;2018-02-15;2018;2;15;1
2b1713e1d7ab07a571cc2a6ac7faf3d7b2d05f5de713315c3157e5006b523573;2018-11-14;2018;11;14;4
0ccdf0cbae67895e88b3aaf3f1cfbdd19b91409ae7d48974293c61d86d047d16;2017-06-04;2017;6;4;2
fb01884f3c351c2173d7b90d8d377c1f8b1050b86a2d4f5ad2c344612fdabfe5;2018-03-26;2018;3;26;1
68972f41b22cc8cd9dfe9deb8abcd8ff4dc4aacfc2c76379bbe7bc4db8d7da68;2018-11-12;2018;11;12;4
2ad3453dbd4dc42312953b22c32e0ffbc79937195fec9114ecafe1d2d332b82e;2018-01-01;2018;1;1;1
c5127a86e85e9b2d5d9c92c3b1454fd7f9b31393f4633ed2b7280d89e589e38d;2019-03-05;2019;3;5;1
d134329d1df45b17d05d0ce9328f56bdc2da2690c3a8ecedd45c9cb636694a2c;2017-03-08;2017;3;8;1
f7c378270ea2087ad5033e0730ac7810dccaaea40db5b12684cef81947089cb6;2017-09-27;2017;9;27;3
a1ddf1339a8568094128090b93706e5a500fb1f6d3990d616f7ccebc5852457c;2018-02-27;2018;2;27;1
3606513640da3151ee1030b3d235949f67e3081c8dae8c90b3c2735468d51401;2018-06-24;2018;6;24;2
cf49bfa73c8d3916d535bf6b72e2e3de68594f1a5be0411a6316c562a3944cd9;2019-03-03;2019;3;3;1
53f65f4a527999fa817615c0d094d85d38c690bae9f6730d2b0d4de82e52f572;2018-01-06;2018;1;6;1
2195ea950a03dae3f7b666aa6a94f4774d4df9143067746db1e7fc4cbc9a7088;2017-11-23;2017;11;23;4
0aa453db6efc3498da5ed554dee8ffc8a5dbdb695258edf0da4f15a0146f8e55;2018-06-27;2018;6;27;2
97cca69291994913ea94d62c9f77f4e196c31a024e6bf8ffeb3578686dc43e4e;2018-09-05;2018;9;5;3
50bc762bfa5ec7b97504dbcdd739406f199876b8dc08a138756e059997646429;2018-02-12;2018;2;12;1
b4eed40c2b1d5b03a384ec86b5fb237c7fc84ff8bff05a406cb2c4e8bf997e00;2018-02-08;2018;2;8;1
5e039c3c92a15eae28ca590e80a04594bc34a1a1f7e46e9318ff7e3cbf84b580;2018-12-24;2018;12;24;4
ab29f6679f32a52ca9774aff248721667757ccfb2b2a5b056576f8896153b663;2019-01-08;2019;1;8;1
53c77ccb4873f4b9eb208aaa8831499f3a58027df2aeaca0c38feb9b13034e46;2018-01-07;2018;1;7;1
63d9da07187635fa5135d7a2c37843dcc16afd90d063acfaf1f1655e9455d4ed;2018-02-07;2018;2;7;1
0b8dcb17d00454ae9a5738db80f3b8a437543b00a149c92730eecf4d21912abc;2017-02-18;2017;2;18;1
160067dd5c263c540d7bb2ca3db0cb1c03706a0a71163cc46c0fbbb345622fed;2017-09-03;2017;9;3;3
710421874166aab029f6ca9457f2299b66226c106467f28b3164892e890797e0;2017-07-22;2017;7;22;3
3360a21ed5457aa7e41983232550bfce36542f5ae9d85fb0cc2474ab7828ef32;2017-09-17;2017;9;17;3
67768924a54f7471f51d4dc8e43877be68d5133b7ddbd5cdd9eb1444b2fd3df8;2017-09-21;2017;9;21;3
9acd5b152ab27f477f91aaa739cfa94314e482660cf801268d689539153415c7;2018-07-11;2018;7;11;3
ab5e8519e60918a0a3a19fcff124af6b4e8d1cfd072a4ebb14f690e41f2e9bbf;2017-08-05;2017;8;5;3
b8c25c526ee80666b612b2feee6aff1ea7a23d2f04ed932f6a7dc0800610b99b;2017-09-07;2017;9;7;3
f1fb9106c1311e4949237299780a1fd56d5616b755d4ae9dd143380c4aaf7665;2018-02-04;2018;2;4;1
9c301e7dc13105ac223d901d19683711bce0e3253b8b87551e0bf18713bae7e6;2017-04-21;2017;4;21;2
100d990a87be12a189f315bffc044f8b056601b107004b142d1c236de8df283f;2017-08-24;2017;8;24;3
e024362252521363e7755dbaab3afce4ad0000130ab60f9c1c31a64262fc0176;2019-02-04;2019;2;4;1
f448a28d16c2a726b97855ddf3c060f9825128bb95c48d33b8be06396e5fb35f;2018-10-03;2018;10;3;4
